Condition Name,Condition Link,Condition Info,Symptoms,Common Symptoms,Other Symptoms,Medical History,Physical Exam,Diagnostic Test,Other Test
Acute Respiratory Distress Syndrome,https://www.nhlbi.nih.gov/health/ards,Acute Respiratory Distress Syndrome (ARDS) is a serious lung condition that causes low blood oxygen levels.,"Difficulty breathing is usually the first symptom of acute respiratory distress syndrome (ARDS). Other symptoms may vary depending on how serious the underlying
cause
is. ARDS may take several days to develop, or it can rapidly get worse.
Complications
may include
blood clots
, infections, additional lung problems, or organ failure.
Warning signs that you are developing or are at risk for ARDS may include:
Shortness of breath
Fast breathing, or taking lots of rapid, shallow breaths
Fast heart rate
Coughing that produces phlegm
Blue fingernails or blue tone to the skin or lips
Extreme tiredness
Fever
Crackling sound in the lungs
Chest pain, especially when trying to breathe deeply
Low blood pressure
Confusion
If you have trouble breathing or have severe shortness of breath,
call 9-1-1 right away.",N/A,N/A,"Your doctor will diagnose acute respiratory distress syndrome (ARDS) based on your medical history, a physical exam, and test results. ARDS can be difficult to diagnose and is often mistaken for another condition, so it is important to know your symptoms.","To help diagnose ARDS, your doctor may ask you about any medical conditions or recent events that could be considered risk factors. For example, traveling could be a risk factor because of potential exposure to infections that are more common in certain geographic areas.
Your doctor will also ask about your
symptoms
and whether you have a heart problem, such as
heart failure
, or another condition that can cause symptoms similar to those for ARDS.","Your doctor will examine you for signs of ARDS. This exam may include:
Listening to your lungs
through a stethoscope for abnormal breathing sounds, such as crackling
Listening to your heart
for a fast heart rate
Checking for signs that you are having difficulty breathing,
such as using muscles in your chest to help you breathe
Examining your skin or lips for a bluish tone,
which can signal a low blood oxygen level
Examining your body for swelling
or other signs of extra fluid, which may be linked to heart or kidney problems
Measuring your blood pressure
and oxygen levels","To diagnose ARDS, your doctor may have you undergo some of the following tests and procedures. Different tests may be appropriate for different ages and can include:
Blood tests
measure the oxygen level in your blood, using a sample of blood taken from an artery. A low blood oxygen level might be a sign of ARDS. To confirm the cause of your symptoms, your doctor may also check your blood for signs of infection or a heart problem, or to see how well other organs are working.
Other tests of blood oxygen levels,
such as pulse oximetry, that do not require collecting a blood sample may be done. For these tests, a sensor is attached to the skin or placed on a hand or foot.
Lung imaging tests
,
such as a chest X-ray or computerized tomography (CT) scan, create detailed images of your lungs.
Lung
biopsy
may be done if other tests do not confirm a diagnosis."
Alpha-1 Antitrypsin Deficiency,https://www.nhlbi.nih.gov/health/alpha-1-antitrypsin-deficiency,Alpha-1 antitrypsin deficiency is an inherited condition in which the body does not make enough of a protein called alpha-1 antitrypsin. This raises the risk of lung diseases such as COPD.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anemia,https://www.nhlbi.nih.gov/health/anemia,Anemia is a condition in which the blood has a lower-than-normal amount of healthy red blood cells.,N/A,N/A,N/A,"Blood test results
The table below shows some normal ranges for adults for different parts of the complete blood count (CBC) test. Some of the normal ranges differ between men and women. Other factors, such as age, high altitude, and race, also may affect normal ranges. Talk to your doctor about your results and whether they are outside an acceptable range based on your individual needs.
Blood Test
Normal Ranges
Red blood cell (varies with altitude)
Normal Range Results*
Adult men: 5 to 6 million cells/mcL
Adult women: 4 to 5 million cells/mcL
Hemoglobin (varies with altitude)
Normal Range Results*
Adult men: 14 to 17 gm/dL
Adult women: 12 to 15 gm/dL
Hematocrit (varies with altitude)
Normal Range Results*
Adult men: 41% to 50%
Adult women: 36% to 44%
Mean corpuscular volume
Normal Range Results*
80 to 95 femtoliter†
* Cells/mcL = cells per microliter; gm/dL = grams per deciliter. † A femtoliter is a measure of volume.",N/A,N/A,N/A
Angina (Chest Pain),https://www.nhlbi.nih.gov/health/angina,Angina is chest pain or discomfort that happens when an area of the heart does not get enough oxygen-rich blood. It is a common symptom of heart disease.,"Symptoms vary based on the
type of angina
you have. Angina symptoms can differ in severity, location in the body, timing, and degree of relief you get from rest or medicines. Symptoms can also be different for men and women.","The main symptom of angina is chest pain or discomfort. Angina can feel like pain, pressure, tightness, discomfort, squeezing, heaviness, or burning in the chest. It can be difficult to tell exactly where the pain is coming from. Angina pain usually starts behind the breastbone and grows more intense over a few minutes. The pain or discomfort can also be felt in areas far from the source of the pain, such as the shoulders, arms, neck, back, and jaw.
Aside from pain in the upper body, symptoms of angina may include:
Shortness of breath
Extreme tiredness
Light-headedness or fainting
Nausea, or feeling sick to the stomach
Heartburn or indigestion
Sweating
Weakness
It can be difficult to tell the difference between the symptoms of angina and of a
heart attack
.
Call 9-1-1
if you feel chest discomfort that does not go away with rest or medicine. Angina can also lead to a heart attack and other
complications
that can be life-threatening.","Symptoms of angina can be different for women and men. It is more common for women to feel angina pain in the arms, neck, back, and jaw — areas far from the source of the pain. Women also more often show other symptoms of angina aside from chest pain, such as shortness of breath, nausea, and light-headedness. Sometimes these are not recognized as symptoms of a heart condition. This can cause delays in
treatment
for women.","Your healthcare provider may diagnose angina based on your medical history, a physical exam, and diagnostic tests and procedures. Tests can rule out other conditions and help determine whether you need medical attention right away.
Typically, healthcare providers ask about angina pain only when you have symptoms that you report during an office visit. Every few years, your provider may estimate your
chances of having heart disease
as part of your regular office visits.","Your healthcare provider will want to learn about your
symptoms
and
risk factors
, such as your personal and family health history, to determine whether your chest discomfort is due to angina or other causes. Be sure to mention any
heart disease risk factors
and other medical conditions you might have, including
diabetes
or
kidney disease
. Even if your chest pain is not angina, it can still be a symptom of a serious medical problem with your heart, blood vessels, chest muscles, lungs, or digestive system.
Tell your provider if you notice a pattern with your symptoms. Ask yourself these questions:
What does the pain or discomfort feel like?
Where do you feel it?
How long does it last?
How often does it occur?
How intense is it?
What brings it on, and what makes it better?","As part of a physical exam, your healthcare provider may measure your blood pressure and heart rate, feel your chest and belly, take your temperature, listen to your heart and lungs, and check your pulse.","Depending on your symptoms and risk factors, your healthcare provider may want to run some tests to check for medical emergencies.
An
electrocardiogram (ECG)
can help recognize types of angina and other serious heart problems. Certain ECG patterns can be a sign of unstable angina or vasospastic angina. However, your ECG may sometimes be normal even if you have angina.
A
chest X-ray
is useful in screening for lung disorders and other causes of chest pain, such as
pneumonia
and
heart failure
. A chest X-ray alone is not enough to diagnose angina or coronary heart disease, but it can help rule out other causes of your symptoms.
Blood tests
can measure the level of cardiac
troponin
in your blood to help healthcare providers tell unstable angina from a heart attack. Troponin is a type of protein found in the heart muscles. When the heart muscles are damaged, troponin can leak into the bloodstream. Your provider may also check levels of other proteins, certain fats, cholesterol, and sugar in your blood.
To check how well your heart works, your provider may have you undergo some of the following
heart tests
as well.
An
echocardiogram
, or echo, can show how well your heart pumps blood to the rest of your body. An echo may help identify problems inside your heart, such as blood clots or
damaged heart valves
.
Cardiac magnetic resonance imaging (MRI)
and other noninvasive tests can help check for problems with your heart’s movement or blood supply.
Stress testing
checks how well your heart works during exercise. A stress test can help confirm whether coronary heart disease is causing your angina symptoms.
Coronary computed tomography (CT) angiography
looks at blood flow through your coronary arteries. This test can help confirm whether you have coronary heart disease.
Invasive coronary angiography
allows healthcare providers to study blood flow through your heart and coronary arteries closely. This test can help accurately identify coronary heart disease and determine whether surgery or other procedures might relieve your angina symptoms.
A
provocation test
can help diagnose vasospastic and microvascular angina. Your provider may use this test during invasive coronary angiography to see whether a chemical that causes angina symptoms can cause your coronary arteries to spasm."
Antiphospholipid Syndrome (APS),https://www.nhlbi.nih.gov/health/antiphospholipid-syndrome,Antiphospholipid syndrome (APS) is an autoimmune condition that causes abnormal blood clots to form in the blood vessels.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aortic Aneurysm,https://www.nhlbi.nih.gov/health/aortic-aneurysm,"Aortic aneurysms are balloon-like bulges that occur in the aorta, which carries blood from your heart to the rest of your body. An aneurysm that bursts is a medical emergency.","An aortic aneurysm may not cause any symptoms. The types of symptoms you have will depend on the location of the aneurysm and whether it has become large enough to affect other parts of your body. If you do have symptoms of an aortic aneurysm, they may include:
Difficult or painful swallowing
if the aneurysm pushes on your esophagus, the tube that connects your mouth and your stomach
Difficulty breathing
if it pushes on your trachea, or windpipe
Feeling full
after not eating very much
Hoarseness
Pain
in the neck, jaw, back, chest, stomach area or shoulder, depending on where the aneurysm is located
A pulsating or throbbing
feeling in your stomach area
Shortness of breath
if the aneurysm presses on your lung
Swelling of the face, neck, or arms
if the aneurysm pushes on the superior vena cava, the main vein returning blood from your upper body to your heart
If you know you have an aortic aneurysm, it is important to know the symptoms of a rupture, or tear in the aorta, since quick treatment may save your life. Symptoms of a rupture may include:
Light-headedness
Rapid heart rate
Sudden, severe pain
in your stomach area, chest, or back",N/A,N/A,"To diagnose an aortic aneurysm, your healthcare provider will do a physical exam and an imaging test. An abdominal aortic aneurysm is diagnosed when your abdominal aorta is three centimeters or greater in diameter. The normal diameter of the thoracic aorta depends on your age, your sex, and which part of the thoracic aorta is measured.","During a physical exam, your provider may do a few basic steps to look for an aortic aneurysm.
Feel your stomach area.
Listen to your heart
for a heart murmur, softer heart sounds, or other changes in your blood flow that could be a sign of an aneurysm.
Check your pulse
in your arms and legs to see whether it feels weaker than normal.
Look for symptoms of medical conditions
that are risk factors for an aortic aneurysm, such as
Marfan
or Ehlers-Danlos syndromes. This may include looking at your skin, muscles and bones, eyes, head and face, and heart.","Screening for aortic aneurysm is usually done using ultrasound. This test shows if the diameter of your aorta is bigger than it should be. If it is larger than normal, your provider may recommend another screening later to check for growth.
To make the diagnosis your provider may order some tests.
Ultrasound
provides information about the size of the abdominal aortic aneurysm and monitors the aorta over time. If you have abdominal or back pain, an ultrasound can check for an abdominal aortic aneurysm or other possible causes of your pain. Once an aortic aneurysm is seen or suspected on ultrasound, you may have a CT scan or an MRI to provide more details about the shape or location of the aneurysm.
Echocardiography
provides information about the size of the aortic aneurysm and about the thoracic aorta, which is close to heart. Other parts of the thoracic aorta are better seen with other imaging studies such as CT or magnetic resonance imaging (MRI).
MRI
provides information about the size, shape, and location of the aneurysm.","Certain groups of people may be screened for a thoracic aortic aneurysm. They include:
People who have Marfan, Loeys–Dietz, Ehlers–Danlos, or Turner syndrome
Parents, children, and siblings (first-degree relatives) of people who have a thoracic aortic aneurysm or a bicuspid aortic valve (BAV)-associated thoracic aortic aneurysm"
Aplastic Anemia,https://www.nhlbi.nih.gov/health/anemia/aplastic-anemia,Aplastic anemia is a condition in which bone marrow does not make enough new blood cells for the body’s needs.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arrhythmias,https://www.nhlbi.nih.gov/health/arrhythmias,"An arrhythmia, or irregular heartbeat, is a problem with the rate or rhythm of your heartbeat. Your heart may beat too quickly, too slowly, or with an irregular rhythm.","An arrhythmia may not cause any obvious symptoms. You may notice symptoms such as a slow or irregular heartbeat or notice pauses between heartbeats. You may also feel like your heart is skipping a beat, fluttering, pounding, or beating too hard or too fast. These are called heart palpitations.
Other symptoms of arrhythmias include:
Anxiety
Chest pain or discomfort
Confusion
Difficulty breathing, or gasping during sleep
Dizziness and fainting
Tiredness or weakness
Keep track of when and how often you have symptoms, what you feel, what you were doing, and whether these things change over time. If your symptoms are very serious, such as difficulty breathing or chest pain, seek emergency medical care.",N/A,N/A,"Sometimes, especially if you do not have any noticeable
symptoms
of an arrhythmia, your doctor may find out you have one during a routine screening or physical for a competitive sport.
To diagnose an arrhythmia, your doctor will ask you about any symptoms, lifestyle habits, and other
risk factors
of arrhythmias. Your doctor will also do a physical exam, which may include these steps:
Checking for swelling in your legs or feet, which could be a sign of an enlarged heart or heart failure
Checking your pulse to find out how fast your heart is beating
Listening to the rate and rhythm of your heartbeat
Listening to your heart for a heart murmur
Looking for signs of other diseases, such as thyroid disease, that could be causing arrhythmias
If you or your child has a high risk of arrhythmias, your doctor may screen you regularly with heart tests. These tests, described in the next section, can help your doctor check whether your heartbeat is too fast, too slow, or irregular, even if you do not have any symptoms. Some of these tests may look at the heart’s structure and function or may determine if you have risk factors for developing an arrhythmia.","An
electrocardiogram (EKG or ECG)
is the most common test for diagnosing arrhythmias. An EKG records your heart’s electrical activity. Your doctor may do an EKG during a stress test, which records your heart’s activity when it is working hard and beating fast.
Your doctor may also do other tests to diagnose arrhythmias.
Blood tests
measure the level of certain substances in the blood, such as potassium or other electrolytes and thyroid hormone.
Monitors for long-term recording
include Holter monitors and implantable loop recorders. These record your heart rhythm while you do your normal activities. Holter monitors measure your heart rhythm using a device that is outside of your body and are usually used for short periods of time. For an implantable loop recorder, your doctor will place the device under your skin. The recorder transmits data to your doctor’s office. Implantable loop recorders may be worn for longer periods of time and may help your doctor figure out why you are having palpitations or fainting spells, especially if these symptoms do not happen very often.
An electrophysiology study (EPS),
which is performed by an EPS cardiologist, measures the electrical activity of your heart. The doctor threads a wire through a blood vessel to your heart. The wire electrically stimulates your heart and triggers any underlying arrhythmia if you have one. If you have another condition that may raise your risk, an EPS can help your doctor find out your risk of developing arrhythmias. An EPS also allows your doctor to test whether a treatment, such as medicine, will stop the problem.
Tilt table testing
may help find the cause of fainting spells. You lie on a table that moves from a lying-down position to an upright position. The change in position may cause you to faint. Your doctor watches your symptoms, heart rate, EKG reading, and blood pressure throughout the test.
Genetic testing
can check whether you have a type of arrhythmia that is caused by specific
Genes
. This test is important when one or more of your close relatives has an arrhythmia caused by the same gene or had
cardiac arrest
.
Heart imaging tests
,
such as computed tomography (CT) scans or cardiac magnetic resonance imaging (MRI), may check the structure of your heart chambers, show how well your heart is working, look for evidence of scar tissue in your heart muscle, or sometimes may look at your heart arteries.",N/A,N/A
Asthma,https://www.nhlbi.nih.gov/health/asthma,Asthma is a long-term condition in which the airways become inflamed and narrowed at times. This makes it hard to breathe.,"Symptoms
of asthma may include:
Wheezing,
which is a whistling sound when you breathe out
Coughing,
especially at night or early morning
Shortness of breath
Chest tightness
Asthma is a chronic condition that makes it harder to breathe. Learn how asthma affects the lungs and about common symptoms with this animated video. Asthma can be managed. If you have asthma, talk to a healthcare provider about making an asthma action plan.
Other conditions can cause these symptoms. But in asthma, the symptoms often follow a pattern:
They come and go over time or within the same day.
They start or get worse with viral infections, such as a cold.
They are triggered by exercise, allergies, cold air, or breathing too fast from laughing or crying.
They are worse at night or in the morning.
Asthma symptoms in young children
may look different than symptoms in others. It is also possible for symptoms to change as you get older. Watch out for these
signs
that your asthma might be getting worse:
You have symptoms
more often than usual, or they feel worse.
You need your reliever medicine
more often than usual.
You wake up at night
because of coughing or other asthma symptoms.
You have trouble with usual activities,
including exercise, because of your asthma.",N/A,N/A,"Talk to your healthcare provider if you or your child have asthma
symptoms
. Tell them about any possible
risk factors
you have. You may need to see a team of healthcare professionals, including your primary care provider, an asthma specialist, or an allergy specialist (called an allergist).
FACT SHEET
Tips for Talking With Your Healthcare Provider
Get tips for talking to your healthcare provider and sample questions to ask at your next appointment.
View the fact sheet","Your healthcare provider may want to run some tests to diagnose your asthma.
Lung function tests
Lung function tests
measure how well you can breathe in and out:
Spirometry
measures how much air you breathe out and how fast. Some people feel lightheaded or tired from the breathing effort for this test.
Peak expiratory flow (PEF) tests
measure how fast you can blow air out using maximum effort. The test can be done during spirometry or with a small handheld device.
Bronchodilator responsiveness tests
measure how much better you can blow air after inhaling a fast-acting bronchodilator, a medicine that helps open your airways by relaxing the muscles around them. The test compares your spirometry or PEF results before and after the medicine.
Challenge tests
Challenge tests, also called bronchial provocation tests, assess how sensitive your airways are. These tests compare how fast you can blow air before and after a challenge agent. Challenge agents are substances or activities that may tighten the muscles in your airways if they become irritated from being too sensitive, including:
Inhaled medicines
such as methacholine, mannitol, or histamine
Allergens
or irritants that cause no reaction in people who do not have asthma
Exercise,
which cools and dries the airways
Hyperventilation,
or breathing in short, quick breaths
Other diagnostic tests
Your healthcare provider may want to run other tests to help diagnose your asthma. Some of them can also assess your risk of asthma flare-ups and predict how well you will respond to medicine:
Allergy tests
can find which allergens, such as pet dander or pollen, cause a reaction in your body when you are around them. Your provider may run these tests if you have a history of allergies.
Fractional exhaled nitric oxide (FeNO) tests
measure how much nitric oxide is in your breath. High levels of nitric oxide may mean that your airways are inflamed, which can make it hard to breathe. This test does not require heavy breathing and has few risks.
Blood tests
can measure levels of
white blood cells
, which can indicate inflammation. Blood tests can also help find your allergies.
A
chest CT scan
may show whether the walls of your airways are thicker.
Most diagnostic tests for asthma do not work well for young children. This can make it difficult to diagnose
asthma in children
.",N/A,N/A
Atherosclerosis,https://www.nhlbi.nih.gov/health/atherosclerosis,Atherosclerosis is a condition in which a sticky substance called plaque builds up in the arteries. This causes the arteries to narrow and can reduce blood flow through the body.,"Early stages of atherosclerosis often do not cause symptoms. Symptoms may first appear when you are under physical or emotional stress — times when the body needs more
oxygen
.
Some people may not notice symptoms until
plaque
buildup causes serious problems. It is important to see your healthcare provider often to check for plaque buildup early.
Atherosclerosis reduces the supply of oxygen-rich blood to the tissues and organs of the body. Symptoms can lower your quality of life or lead to death.","Symptoms depend on which
arteries
are affected and how much blood flow is blocked. You may not notice symptoms until plaque buildup causes severe problems. Some conditions caused by atherosclerosis and their symptoms include the following:
Coronary heart disease
includes symptoms of chest pain (
angina
), heart palpitations (feeling that your heart is racing), shortness of breath, cold sweats, dizziness, extreme tiredness and weakness, and nausea. Coronary heart disease results from atherosclerosis of the arteries that supply blood to the heart muscle.
Peripheral artery disease
includes symptoms of pain, aching, heaviness, or cramps in your legs while walking or climbing stairs. Pain and other symptoms that stop when you rest is called intermittent claudication. The pain is often in the calf, but you may also feel it in your buttocks, thigh, or foot. Some people with PAD have different symptoms or no symptoms at all.
Vertebral artery disease
includes problems with thinking and memory, weakness or numbness on one side of the body or face, and vision trouble
.
Transient ischemic attack
(TIA), commonly called a ministroke, is a more serious symptom.
Mesenteric artery
ischemia
of the intestines includes severe belly pain following meals, weight loss, and diarrhea.
Erectile dysfunction (ED)
is an early warning sign that a man may be at higher risk for atherosclerosis and its complications. If you have ED, talk with your healthcare team about your risk of plaque buildup.
You may not notice other symptoms until plaque buildup causes serious problems. Seeing your doctor regularly is important, as they may be able to find plaque buildup before it gets serious. For example:
Carotid artery disease:
Plaque builds up in the arteries of the neck. In early stages, you may not have any symptoms. Your provider may be able to hear a whooshing sound called a bruit when listening to the blood flow in your neck using a stethoscope. Often people do not know they have carotid artery disease until they have a
transient ischemic attack
or a
stroke
.
Renal artery stenosis
: Using a stethoscope, your provider may hear an abnormal sound, or bruit, in your belly, which is an early sign of renal artery stenosis. This condition results from plaque buildup in the arteries that deliver blood to the kidneys. As the disease worsens, it can cause pressure, extreme tiredness, loss of appetite, nausea, feeling sick to the stomach, swelling in the hands or feet, changes in how often you need to urinate, and itchiness or numbness.
Talk to your provider about your symptoms and whether you have
risk factors
of atherosclerosis.",N/A,"Beginning at age 20, your provider will regularly check to see if you have
risk factors
for
plaque
buildup in the
arteries
. Your provider may:
Check your blood pressure.
Calculate your
body mass index
by measuring your waist.
Order blood tests
to see whether you have unhealthy
blood cholesterol
or
triglycerides
.
Very
high blood pressure
is a medical emergency. If the top number of your blood pressure is higher than 180 mm Hg or if the bottom number is higher than 120 mm Hg, call your healthcare provider right away.","Talk with your provider about risk factors related to:
Your lifestyle habits
such as smoking or vaping, low physical activity, and unhealthy eating behaviors
Your personal health history
of medical conditions that may affect your risk, including
diabetes
and
inflammatory
conditions such as
rheumatoid arthritis
and psoriasis
Your family history
if you have blood relatives who had
heart attacks
or
died suddenly
before they were 55 years old
A
risk estimator
can help determine your risk for a major complication, such as a heart attack, from atherosclerosis.
For people between ages 20 and 59, the risk estimator can help you understand the risk of having a stroke or heart attack over your lifetime.
If you are between ages 40 and 79, the risk estimator can help you understand the risk of having a stroke or heart attack in the next 10 years.
The risk estimator considers your
cholesterol
levels, blood pressure, and other factors to calculate your 10-year or lifetime risk of a serious complication from atherosclerosis. If you have all the information, you can use the app yourself. The app shows risk levels as low, borderline, intermediate, or high.
Discussing risk with your provider
Keep in mind that your cholesterol numbers and your risk score are only part of the story. Talk to your provider to learn what the numbers mean for you. Other risk estimators are available, such as the
ASCVD Risk Estimator Plus
. It's good to have the options, because no single risk calculator is right for everyone. Studies show that some calculators overestimate risk for certain groups, while others may underestimate risk.","When diagnosing your condition, your provider may order tests even if you don't show
symptoms
. The type of test depends on which
arteries
are affected by plaque buildup.
Blood tests
Providers use blood tests to check cholesterol,
triglycerides
, blood sugar, and
lipoprotein
levels, along with proteins that show signs of
inflammation
, such as C-reactive protein.
Electrocardiogram
An electrocardiogram, also called an ECG or EKG, is a simple, painless test that detects and records your heart's electrical activity. An ECG can show how fast your heart is beating, check your heart's rhythm, and assess the electrical impulses passing through each part of your heart.
For an ECG, you will lie on a table. A provider will attach up to 12 electrodes to the skin on your chest, arms, and legs. The electrodes are connected by wires to a machine that records your heart's electrical activity. The test takes a few minutes. An ECG has no serious risks.
Imaging tests
Your provider may order a
heart imaging test
to take pictures of your heart and check the blood flow in your heart and coronary arteries.
Different heart imaging tests can be used to diagnose atherosclerosis:
Angiography
is a special type of X-ray using a dye. This procedure can check the arteries in the heart, neck, brain, or other areas of the body.
Cardiac MRI (magnetic resonance imaging)
detects tissue damage or problems with blood flow in the heart or coronary arteries. Cardiac MRI can help explain results from other imaging tests such as chest X-rays and CT scans.
Cardiac positron emission tomography (PET) scanning
assesses blood flow through the small blood vessels of the heart. This type of heart scan can diagnose
coronary microvascular disease
.
Coronary computed tomographic (CT) angiography
shows the inside of your coronary arteries without
invasive cardiac catheterization
. It uses radiation to create a picture of your heart's arteries. Because CT scans use radiation, talk to your provider before the test if you are or could possibly be pregnant.
Cardiac intravascular ultrasonography
uses a tiny
ultrasound
device on the tip of a
cardiac catheter
to look inside the arteries of the heart.
Learn more about this procedure
.
Coronary calcium scans
measure the amount of calcium in the walls of your coronary arteries using a CT scanner. Buildup of calcium is a sign of atherosclerosis. The results are given as a score based on the amount of calcium in your coronary arteries. A score of zero is normal. The higher your score, the more likely you are to have coronary heart disease. If your score is high, talk with your provider about more testing and ways that
heart-healthy living
can lower your risk of complications.
Stress tests
A
stress test
checks how your heart responds to physical stress. Some heart problems are easier to detect when your heart is pumping blood to your body at a high rate.
You may do a stress test in a clinic, a provider's office, or a hospital. The test usually involves exercise such as walking on a treadmill or riding a stationary bike. If you are not able to exercise, your provider will give you medicine to make your heart work hard and beat faster, as if you were exercising.
Ankle-brachial index (ABI) test
An ABI test can help diagnose
peripheral artery disease
. This painless test compares the blood pressures in your ankle and your arm using a blood pressure cuff and an ultrasound device.
The illustration shows the ankle-brachial index test. The test compares blood pressure in the ankle with blood pressure in the arm. As the blood pressure cuff deflates, the blood pressure in the arteries is recorded.","Healthcare providers sometimes recommend
genetic
testing for people who have very high cholesterol levels or if they have a family history of heart disease or unexplained, sudden death at young ages. For example,
familial hypercholesterolemia
can be passed from parent to child and raises the risk for severe complications of atherosclerosis at a young age.
If results of genetic testing show you have a high risk of disease linked to atherosclerosis, you and your provider can discuss plans for monitoring your heart health,
heart-healthy living
, and starting
treatment
with medicines. Your provider may also recommend genetic counseling to help you understand your results.
Learn more about familial hypercholesterolemia
."
